15,21,20,21,77,3
207,208,198,219,832,4
386,386,400,398,1570,5
575,594,572,578,2319,5
15,19,24,19,77,4
99,111,116,86,412,3
2,1,1,5,9,7
5,3,5,4,17,4
5,7,1,4,17,2
19,18,23,19,79,4
214,223,182,208,827,4
416,438,371,362,1587,4
637,602,555,543,2337,5
836,804,721,710,3071,5
1011,990,923,899,3823,5
1187,1158,1116,1096,4557,5
1372,1321,1293,1290,5276,5
1587,1516,1478,1454,6035,6
1760,1679,1672,1645,6756,6
1958,1844,1844,1795,7441,6
2157,2010,2030,1978,8175,6
2357,2176,2228,2161,8922,6
2535,2360,2405,2326,9626,6
2705,2537,2572,2497,10311,6
2876,2708,2748,2650,10982,6
3046,2886,2930,2814,11676,6
3244,3072,3112,2998,12426,5
